sinhala,english,transliteration,pos,example_si,example_en
ඔබ එකට ජීවත් වන ඇය නැවතත් ජර්සියෙන් උපාධි පාසලට යනවා,you living together she s back in jersey going to graduate school,oba ekata jeewath wana eya newathath upadhi pasalata yanawa,,,
ඇය හැදී වැඩෙන්නේ ලිවින්ස්ටන් වලය,she grow up in livingtston too no no no she s from hoboken,eya hedee wedenne walaya,,,
එය ඔබ ඇත්තටම කරන කැපවීම මම අගය කරනවා,that s a lot of commitment i admire that do you really,eya oba eththatama karana kepaweema mama agaya karanawa,,,
barnett ගේ දැඩි තරඟයකදී ඔබට එය ඇසුණේ කොහෙන්ද?,where did you hear that around barnett s tough competition,ge dedi tharangayakadee obata eya esune kohenda,,,
ඔබ සිතන්නේ ඔබට mccall ඉගෙන ගත හැකි යැයි මම සිතමි,you think you can learn mccall i think so,oba sithanne obata igena gatha heki yeyi mama sithami,,,
මම බොරු කියන්න හොඳ නැහැ හොඳ වෙන්න,i m not good at lying get good at it,mama boru kiyanna honda nehe honda wenna,,,
එය මගේ ස්වභාවයට විරුද්ධයි,get good at it it s against my nature,eya mage swabhawayata wiruddhayi,,,
ඔයා මට කියනවා ඔයාව මරන්න එපා ඔයාව මැරුවා කියලා,you tell me thou shall not kill you ve killed right,oya mata kiyanawa oyawa maranna epa oyawa meruwa kiyala,,,
"මගේ නම mccal මම නිරායුධ, හරි නවත්වන්න",my name s mccall i m unarmed okay stop,mage nama mama nirayudha hari nawathwanna,,,
ඔබ බලගතු සූදුකාරයෙක් වන ධාවන පථයට මා කැමති මන්දැයි ඔබ දන්නවා,you know why i like the track you re a compulsive gambler,oba balagathu wana dhawana pathayata ma kemathi mandeyi oba dannawa,,,
රොනී ඔව් ඉතින් දැන් ඇය ග්රෙග් බාර්නට් එක්ක එළියට යනවා,ronnie yeah so now she s going out with greg barnett,ronee ow ithin den eya greg barnat ekka eliyata yanawa,,,
මම මගේ බොරුව පුරුදු කරනවා විතරයි තව වැඩ ඕන,i m just practicing my lying still needs work,mama mage boruwa purudu karanawa witharayi thawa weda ona,,,
"අශ්වයා 6 අන්තිමයා, කමක් නෑ ඒක එයාගේ ස්ටයිල් එක",the 6 horse is last that s okay that s his style,ashwaya anthimaya kamak ne eka eyage stayil eka,,,
ඒක කමක් නැහැ අන්තිමට දුවන ඔහුගේ විලාසය ඒක,that s okay that s his style to run last,eka kamak nehe anthimata duwana ohuge wilasaya eka,,,
අන්තිමට දුවන්න පරක්කු වෙලා දුවන්න,to run last to run late,anthimata duwanna parakku wela duwanna,,,
අශ්වයා 6 තවමත් අන්තිමයා ඔහු කාර්තු කණුවේ දුවනු ඇත,the 6 horse is still last he ll be running at the quarter pole,ashwaya thawamath anthimaya ohu karthu kanuwe duwanu etha,,,
ඔවුන් පළමු හා දෙවන ඔව් පළමු හා දෙවන ධාවනය කළ යුතුය,they need to run first and second yeah first and second,owun palamu ha dewana ow palamu ha dewana dhawanaya kala yuthuya,,,
එන්න රසල් කවුද ෆක් එස් රසල් ජොකියා,come on russell who the fuck s russell the jockey,enna rasal kawuda fk es rasal jokiya,,,
ජොකී රසල් මතට එයි,the jockey come on russell,rasal mathata eyi,,,
අවුරුදු හයක් විතර මගේ සහකරු මාව අරන් ගියා හැමදාම මෙහෙමයි,about six years my partner took me is it always like this,awurudu hayak withara mage sahakaru mawa aran giya hemadama mehemayi,,,
හැමදාම මෙහෙමද ඉඳහිට නැති වෙන්නේ,is it always like this occasionally you lose,hemadama mehemada indahita nethi wenne,,,
"ඔබේ පිළිතුර ඔහු දක්ෂයි, ඔහු දෘශ්යතාව අඩු කරයි",there s your answer he s smart he s cutting down the visibility,obe pilithura ohu dakshayi ohu adu karayi,,,
ඔහු දෘශ්යතාව අඩු කර එය ඉතා හොඳ කාර්යයක් කරයි,he s cutting down the visibility and doing a very good job of it,ohu adu kara eya itha honda karyayak karayi,,,
මම දන්නේ නැහැ නමුත් මට එතනට යන්න වෙනවා ඔයාට පිස්සු,i don t know but i ve got to get on there you re crazy,mama danne nehe namuth mata ethanata yanna wenawa oyata pissu,,,
ඔයාට පිස්සු වගේ,you re crazy pull up alongside,oyata pissu wage,,,
"ඒක වෙන්න ඇති, උඩ කවුරු හිටියත් ඒක ඔයාටත් වෙයි",it might have happened no matter who was up there bullshit would it have happened to you,eka wenna ethi uda kawuru hitiyath eka oyatath weyi,,,
"ඔබට එය සමඟ ජීවත් වීමට නොහැකි නම්, එය ඔබම තීරණය කළ යුතුය",and what if you can t live with it you ve got to decide that for yourself,obata eya samanga jeewath weemata noheki nam eya obama theeranaya kala yuthuya,,,
ඉතින් ඔබට කුමක් කිරීමට අවශ්යද එය මට ගත යුතු අවස්ථාවක්,so what do you want to do that s a chance i gotta take,ithin obata kumak kireemata awashyada eya mata gatha yuthu awasthawak,,,
mccall you all right මම okk korda ගොඩනැගිල්ල පැත්තට ගියා,mccall you all right i m okay korda went down the side of the building,mama godanegilla peththata giya,,,
මම කමක් නෑ කෝර්ඩා බිල්ඩිම පැත්තට බැහැලා ඉන්න,i m okay korda went down the side of the building stay put,mama kamak ne bildima peththata behela inna,,,
ඔබ එම මහල පමණක් කිසිවෙකු ඉවත් කර තිබේද?,have you evacuated anyone only that floor,oba ema mahala pamanak kisiweku iwath kara thibeda,,,
ප්රාණ ඇපකරු තුවාල ලබා ඇත්තේ එම තට්ටුව පමණි,only that floor is the hostage injured,prana epakaru thuwala laba eththe ema thattuwa pamani,,,
කවුද ඔය මගුල් අම්මා තෙරේසා මගේ නම ස්කොට් රොපර්,who the fuck are you mother teresa my name s scott roper,kawuda oya magul amma theresa mage nama skot,,,
මම ඔබට නමස්කාර කරනවා ඔබ ඔබටම නමස්කාර කරනවා,i worship you you worship yourself,mama obata namaskara karanawa oba obatama namaskara karanawa,,,
කරුණාකර මම ඔබෙන් අයදිනවා අනේ මට මේකේ වෙඩිල්ලක් ගන්න ඕනේ,please i m begging you oh i ve got to get a shot of this,karunakara mama oben ayadinawa ane mata meke wedillak ganna one,,,
මම තාම බීල නෑ සමහර විට ඔයා එහෙම වෙන්න ඇති,i m not drunk yet maybe you should be,mama thama beela ne samahara wita oya ehema wenna ethi,,,
සමහර විට ඔබට ඇහුම්කන් දිය යුතුය,maybe you should be you heard,samahara wita obata ehumkan diya yuthuya,,,
ඔව් මට සමාවෙන්න මට ඇතුලට එන්න පුලුවන්ද,yeah i m sorry can i come in,ow mata samawenna mata ethulata enna puluwanda,,,
scott ඔයාට මම ඔප්පු කරපු හැමෝම බේරගන්න බෑ,scott you can t save everyone i ve proved that didn t i,oyata mama oppu karapu hemoma beraganna be,,,
ඔබ කවදාවත් එය නොපෙන්වා ඇත්නම් මට ඔබව අවශ්ය නැතැයි ඔබ සිතනවා,you think i didn t need you if you did you never showed it,oba kawadawath eya nopenwa ethnam mata obawa awashya netheyi oba sithanawa,,,
ඔයා එහෙම කළා නම් ඔයා ඒක කවදාවත් පෙන්නුවේ නැහැ රොනී,if you did you never showed it ronnie,oya ehema kala nam oya eka kawadawath pennuwe nehe ronee,,,
මම සතිය පුරාම ඒ දේවල් වලට ආශා කළ අතර එය ලබා ගැනීමට අපහසුය,i ve been craving that stuff all week and it s hard to get,mama sathiya purama e dewal walata asha kala athara eya laba geneemata apahasuya,,,
ම්ම්ම්ම්ට පොඩි දෙයක් ඕන කියලා ඔයා හිතන්නේ,what do you think mmm needs a little something,podi deyak ona kiyala oya hithanne,,,
ඔව් ඒකයි ඔයා ඔයාගේ ඇඟිල්ල ඇතුලට තියලා ඒක අවුස්සන්න එපා,yeah that s it why don t you just stick your finger in and stir it up,ow ekayi oya oyage engilla ethulata thiyala eka awussanna epa,,,
ඇයි ඔයා ඔයාගේ ඇඟිල්ල ඇතුලට තියලා ඒක අවුස්සන්නේ නැත්තේ,why don t you just stick your finger in and stir it up scottie,eyi oya oyage engilla ethulata thiyala eka awussanne neththe,,,
ඔබ මෙම ස්ථානයට කැමතියි එය ඉතා හොඳයි,you like this place it s very nice,oba mema sthanayata kemathiyi eya itha hondayi,,,
"korda පැනලා ගියා, ඔයා හිතන්නේ එයා වෙයි කියලා",korda escaped and you think he ll,penala giya oya hithanne eya weyi kiyala,,,
scottie scottie ඒක ඉවරයි බබා ඔක්කොම ඉවරයි,scottie scottie it s all over babe it s all over,eka iwarayi baba okkoma iwarayi,,,
මෙතන ඉන්න ස්කොටි හෙල්ලෙන්න එපා,stay here don t move scottie,methana inna hellenna epa,,,
මම කිව්වේ මේ ගමන ඔබ කතා කරන මගුලක් විය යුතු බවයි,i mean i said this trip should be a roadtest the hell are you talking about,mama kiwwe me gamana oba katha karana magulak wiya yuthu bawayi,,,
ඔය මගුල ගැනද මම කතා කරන්නේ ඔයා මොනවා ගැනද කතා කරන්නේ,the hell are you talking about i m talking about what are you talking about,oya magula genada mama katha karanne oya monawa genada katha karanne,,,
"දන්නවනේ ඔයා මොකක්ද කියලා ඔයා පෘට් රෝපර් කෙනෙක්, මම තමයි",know what you are you re a prude roper the hell i am,dannawane oya mokakda kiyala oya pt kenek mama thamayi,,,
ඔයා මට මේක අමාරු කරනවද කියන එක මත තමයි වෙන්නේ,are you going to make this hard for me depends what s up,oya mata meka amaru karanawada kiyana eka matha thamayi wenne,,,
මෝටර් රථය ඔබේ ට්රාන්ස් ඇම් එකට සිදු වූ ගනුදෙනුවේ කොටසකි,the car is part of the deal what happened to your trans am,motar rathaya obe trans em ekata sidu wu ganudenuwe kotasaki,,,
අද උදේ මම ඔබට ප්රවාහන පහසුකම් ලබා දෙන්නම්,repoed this morning i ll provide you with transportation,ada ude mama obata prawahana pahasukam laba dennam,,,
මට ඒක කරන්න බෑ මාව මේ නඩුවට දාන්න ඕන,i can t do that i want to be put on this case,mata eka karanna be mawa me naduwata danna ona,,,
කවුද ඒක ක්රියාත්මක කරන්නේ,who s running it roper,kawuda eka kriyathmaka karanne,,,
එය පවත්වාගෙන යන roper,roper who s running it,eya pawathwagena yana,,,
මේවා ඔබේද ඔව් නමුත්,are these yours yeah they are but,mewa ow namuth,,,
ඔව් ඔවුන් නමුත් එන්න,yeah they are but come on,ow owun namuth enna,,,
මේක halden halden ඔයාගේ කටහඬ අහන්න කොච්චර ලස්සනද,this is halden halden how nice to hear your voice,meka oyage katahanda ahanna kochchara lassanada,,,
ඔබට අවශ්ය දේ ඔබේ කටහඬ ඇසීම කොතරම් ප්රසන්නද?,halden how nice to hear your voice what do you want,obata awashya de obe katahanda eseema kotharam prasannada,,,
ඔබට අවශ්ය කුමක්ද මට මගේ දේ ආපසු ගැනීමට අවශ්යයි,what do you need i need to take back what s mine,obata awashya kumakda mata mage de apasu geneemata awashyayi,,,
දෙයියනේ ඔයා ඔව් මම විශ්වාස කරනවා එයාට තියෙනවා කියලා,god damn you yes i believe he has,deyiyane oya ow mama wishwasa karanawa eyata thiyenawa kiyala,,,
කොහොමද මට මතක නැත්තේ මම ඒක ඔයාගේ මතකයෙන් අයින් කරපු නිසා,how come i can t remember because i took it out of your memory,kohomada mata mathaka neththe mama eka oyage mathakayen ayin karapu nisa,,,
ඔබ කුමක් ගැන හරි,you were right about what,oba kumak gena hari,,,
ඔබ කවුද හාස්කම් විශ්වාස කරන කෙනෙක්,who are you someone who believes in miracles,oba kawuda haskam wishwasa karana kenek,,,
මොකුත් වෙන්නේ නෑ ආයේ නිදාගන්න,what s happening nothing go back to sleep,mokuth wenne ne aye nidaganna,,,
අවදි වීමට කාලයයි,it s time to wake up wake up,awadi weemata kalayayi,,,
සිහිනයෙන් අවදි වන්න,wake up from the dream,sihinayen awadi wanna,,,
මගේ ගැටලුව එතරම් වැරදි නැත,not my problem so wrong,mage getaluwa etharam weradi netha,,,
ඔබ මා මෙහි සිටින දෙවියෙක් නොවේ,you are not a god in here i am,oba ma mehi sitina dewiyek nowe,,,
පරිගණක වැඩසටහනක නව ලෝකය,in a computer program the new world,pariganaka wedasatahanaka nawa lokaya,,,
නව ලෝකය එය සැබෑ නොවේ,the new world it s not real,nawa lokaya eya sebe nowe,,,
එය සැබෑ නොවේ සැබෑ නොවේ,it s not real not real,eya sebe nowe sebe nowe,,,
කොහෙද බන් උබල ඉවරයක් නැති බිස්නස් යන්නේ,where the hell are you going unfinished business,koheda ban ubala iwarayak nethi bisnas yanne,,,
"ඔහු පැමිණෙන බව ඔබට විශ්වාසයි, එය ඔහුගේ ස්වභාවයයි",you sure he s going to come it s his nature,ohu peminena bawa obata wishwasayi eya ohuge swabhawayayi,,,
"එය ඔහුගේ ස්වභාවයයි, නමුත් ඔහු එසේ නොකළහොත් කුමක් කළ යුතුද?",it s his nature but what if he doesn t,eya ohuge swabhawayayi namuth ohu ese nokalahoth kumak kala yuthuda,,,
නමුත් ඔහු එසේ නොකළහොත් කුමක් කරයිද?,but what if he doesn t he will,namuth ohu ese nokalahoth kumak karayida,,,
අපට eject කළ හැකි කොපමණ කාලයක් අපට නැවත සකස් කිරීමට සිදුවේ,how long till we can eject we re going to have to reconfigure,apata kala heki kopamana kalayak apata newatha sakas kireemata siduwe,,,
අපි කොපමණ කාලයක් නැවත සකස් කිරීමට සිදු වනු ඇත,we re going to have to reconfigure how long,api kopamana kalayak newatha sakas kireemata sidu wanu etha,,,
අවම වශයෙන් දිනකට කොපමණ කාලයක්,how long at least a day,awama washayen dinakata kopamana kalayak,,,
ඔබ නිව් යෝර්ක් සිට පේනුගත කළ ස්ථානය,where you plugged in from new york,oba niw york sita kala sthanaya,,,
නිව් යෝර්ක් සහ දකුණු ඩැකෝටා,new york i m south dakota,niw york saha dakunu dekota,,,
ඔබ සිරවී සිටින කාන්තාව එහි නැත,the woman you re stuck on there is no,oba sirawee sitina kanthawa ehi netha,,,
පරිස්සම් වෙන්න ඔයා කොහෙද යන්නේ කියලා,take care take care where the hell are you going,parissam wenna oya koheda yanne kiyala,,,
ඔහුට ප්රවේශය ලැබුණහොත් කාලය නොවනු ඇත,won t be time if he gets access he won t,ohuta praweshaya lebunahoth kalaya nowanu etha,,,
එය කිසිම දෙයකට භාවිතා නොකරන හෝටලයක්,a hotel it s not used for anything,eya kisima deyakata bhawitha nokarana hotalayak,,,
ඔහු ඔබට ඇත්ත කීවේ කුමක්ද?,what did he tell you the truth,ohu obata eththa keewe kumakda,,,
ඇත්ත ඔහුගේ ශෛලිය නොවේ,the truth not his style,eththa ohuge shailiya nowe,,,
ඔහුගේ විලාසිතාවේ කැටි ඩිජිටල්කරණය නොවේ,not his style katie was digitized,ohuge wilasithawe keti nowe,,,
එහෙනම් ඔයා එයාව මරලා දැම්මේ ඇයි මම එහෙම කරන්නේ,then you had her killed why would i do that,ehenam oya eyawa marala demme eyi mama ehema karanne,,,
සාක්ෂි වසන් කිරීමට මා එසේ කරන්නේ ඇයි?,why would i do that to hide the evidence,sakshi wasan kireemata ma ese karanne eyi,,,
ඇයව මරා දැමීමට අවශ්ය නොවීය,try harder there was no need to kill her,eyawa mara demeemata awashya noweeya,,,
"ඇයව මරා දැමීමට අවශ්ය නොවීය, එවිට ඇය කොහෙද?",there was no need to kill her then where is she,eyawa mara demeemata awashya noweeya ewita eya koheda,,,
එතකොට ඇය කොහෙද සම් පදම් කරන්න ඇවිත් මේ ගැන හිතන්න,then where is she come on tanner think this through,ethakota eya koheda sam padam karanna ewith me gena hithanna,,,
තැටිය ආපසු රක්ෂණය අවශ්ය වේ,need the disk back insurance,thetiya apasu rakshanaya avashya we,,,
රක්ෂණ රක්ෂණය,insurance insurance,rakshana rakshanaya,,,
ඇය ජීවතුන් අතර නම් රක්ෂණය ඔබට එය නැවත ලබා දෙනු ඇත,insurance if she s alive you get it back,eya jeewathun athara nam rakshanaya obata eya newatha laba denu etha,,,
අවුල පිරිසිදු කිරීම සඳහා ඔබව ගෙන එන්නේ කුමක්ද?,what brings you inside cleaning up a mess,awula pirisidu kireema sandaha obawa gena enne kumakda,,,
එතකොට ඔයා කොහොමද දන්නේ ඔයා මට කිව්ව ගැන,then how do you know about you told me,ethakota oya kohomada danne oya mata kiwwa gena,,,
ඔයා මට කිව්වා ඔයා මොනවද කතා කරන්නේ කියලා,you told me what are you talking about,oya mata kiwwa oya monawada katha karanne kiyala,,,
බොහෝ රාත්රිවල ඔබ අවදිවන්නේ ඔබ කවුදැයි නොදැන හඬමින්,most nights you wake up crying never knowing why who are you,boho rathriwala oba awadiwanne oba kawudeyi nodena handamin,,,
ඇතුළත රාත්රී නගරය,the inside night city,ethulatha rathree nagaraya,,,
සංස්ථාවට කළ හැකි දේ කිසිවෙකුට කළ නොහැකි ය,that s not possible no one can do that corporation can,sansthawata kala heki de kisiwekuta kala noheki ya,,,
එය කුමක් සඳහා පරීක්ෂණයක් විය,it was a test for what,eya kumak sandaha pareekshanayak wiya,,,
මට තේරුම් ගැනීමට කොපමණ කාලයක් ගතවේදැයි බැලීමට,to see how long it would take for me to realize realize,mata therum geneemata kopamana kalayak beleemata,,,
ඔබ සැබෑ නොවන බව තේරුම් ගන්න,realize you weren t real,oba sebe nowana bawa therum ganna,,,
නමුත් ඔබ මා සමඟ සිටියේ ඔබ පිටපතක් නොවේ,but you were with me not you a copy,namuth oba ma samanga sitiye oba pitapathak nowe,,,
"ඔබ පිටපතක් නොවේ, වෙනස කුමක්ද?",not you a copy what s the difference,oba pitapathak nowe wenasa kumakda,,,
මොන විහිලුවක්ද මේකෙන් වැඩක් නෑ,what s so funny this no point to it,mona wihiluwakda meken wedak ne,,,
මෙය තේරුමක් නැත ඇයි එසේ නොකරන්නේ,this no point to it why not,meya therumak netha eyi ese nokaranne,,,
ඇයි නැත්තේ ඔබ කවදාවත් මාව විශ්වාස නොකරන නිසා,why not because you ll never believe me,eyi neththe oba kawadawath mawa wishwasa nokarana nisa,,,
මගේ uni net account එක මම program එකට ලොග් වෙන්නේ ඔය විදියට,my uni net account i log on the program s there just like that,mage eka mama ekata log wenne oya widiyata,,,
හරියට ඒ වගේ,just like that just like that,hariyata e wage,,,
හඬ සක්රිය කර ඇත,voice activate activated,handa kara etha,,,
සක්රිය කළ වැඩසටහනේ නම,activated program name,kala wedasatahane nama,,,
වැඩසටහනේ නම නැවත නැඟිටීම,program name resurrection,wedasatahane nama newatha nengiteema,,,
නැවත නැඟිටීම වැඩසටහන් කාර්යය විස්තර කරයි,resurrection describe program function,newatha nengiteema wedasatahan karyaya wisthara karayi,,,
ගමනාන්ත සම් පදම් කරන්නා දහඅට හය දෙක නවය,destination tanner eighteen six two nine,gamanantha sam padam karanna dahaata haya deka nawaya,,,
tanner දහඅට හය දෙකක් නවය පරීක්ෂා කිරීමේ සම්බන්ධතාවය,tanner eighteen six two nine checking connection,dahaata haya dekak nawaya pareeksha kireeme sambandhathawaya,,,
දැන් සම්ප්රේෂණය කිරීමට සූදානම් සම්බන්ධතාවය අනුමත කර ඇත,connection approved ready to transmit transmit now,den sampreshanaya kireemata sudanam sambandhathawaya anumatha kara etha,,,
වේටර් බස්බෝයි මෛත්රේ ද වේටර්,waiter busboy maitre de waiter,wetar da wetar,,,
සම්මත නූතන ඉහළ මට්ටමේ සම්මතය,standard modern upscale standard,sammatha nuthana ihala mattame sammathaya,,,
සම්මත ස්කෑනිං ශරීර වර්ගය,standard scanning body type,sammatha shareera wargaya,,,
ස්ථාපිත පොදු ප්රවේශ ප්රවේශයට සම්බන්ධ වන්න,connect to public access access established,sthapitha podu prawesha praweshayata sambandha wanna,,,
වෙලාව කීයද කියලා ඔහු මොහොතක් ඉන්න,he s on us wait a second what time is it,welawa keeyada kiyala ohu mohothak inna,,,
"බිලී එය විශිෂ්ටයි, අපි අයිවන් වල්ගා තරු මාවතට ඇතුළු වෙමු",billy that s brilliant we get ivan into the comets path,bilee eya wishishtayi api ayiwan walga tharu mawathata ethulu wemu,,,
අපට තත්පර අටකින් නිදහස් බලපෑම බිඳ දැමිය නොහැක,we can t break free impact in eight seconds,apata thathpara atakin nidahas balapema binda demiya noheka,,,
මෙම ආහාරය ඔවුන් squirbs ලෙස හැඳින්වේ,is this food they re called squirbs,mema aharaya owun lesa hendinwe,,,
ඔව් ඒක ඔයාට හානියක් වෙන්නේ නැහැ,yeah right it will not harm you,ow eka oyata haniyak wenne nehe,,,
wow sand දැන් මට කියන්න ඔබ දකින්නේ කුමක්ද?,wow sand now tell me what do you see,den mata kiyanna oba dakinne kumakda,,,
අයිෂා ඔබ වලස් ප්රබල සහ නිර්භීත ස්ටයිලින් ය,aisha you are the bear stalwart and bold stylin,ayisha oba walas prabala saha nirbheetha ya,,,
මම ඉරිදා නිරීක්ෂණාගාරයේ සිටින බව මට ආරංචි විය,i heard that i ll be at the observatory sunday,mama irida nireekshanagaraye sitina bawa mata aranchi wiya,,,
පද්ධතියේ අක්රියතාවය අපගේ අර්ධ සන්නායක අක්රියයි,system malfunction our semi conductors are down,paddhathiye akriyathawaya apage ardha sannayaka akriyayi,,,
කවුරුහරි ඕනෑම දෙයක් දකිනවා අපි එතනින් බලමු,anybody see anything let s take a look over there,kawuruhari onema deyak dakinawa api ethanin balamu,,,
saber tooth tiger සුදු කොටි,saber tooth tiger white tiger,sudu koti,,,
ඒක හරිම නරකයි හැමදේටම ස්තූතියි ඩල්සියා,that s pretty bad thank you dulcea for everything,eka harima narakayi hemadetama sthuthiyi,,,
"බලය සමඟ බලය නිදහස් කරන්න, එයින් අදහස් කරන්නේ කුමක්ද?",release the power with the power what does that mean,balaya samanga balaya nidahas karanna eyin adahas karanne kumakda,,,
මට පේනවා ෆොක්ස්ක්ලෝස් බිලී ඔබ කපටි සහ වේගවත් වෘකයා,i see a foxclose billy you are the wolf cunning and swift,mata penawa bilee oba kapati saha wegawath wkaya,,,
ඔබේ කාලය තුළ තත්පර විස්සක් පමණ ට්රයිඇක් යනු කුමක්ද?,what s a triac about twenty seconds in your time,obe kalaya thula thathpara wissak pamana yanu kumakda,,,
ඔයා හරි මම හිතන්නේ එහෙමයි,you okay i think so,oya hari mama hithanne ehemayi,,,
"මම කපටි සහ වේගවත් වෘකයා වෙමි, මම දොඹකරය කඩිසර හා උතුම් ය",i am the wolf cunning and swift i am the crane agile and sublime,mama kapati saha wegawath wkaya wemi mama dombakaraya kadisara ha uthum ya,,,
කිසිවක් බලය සමඟ බලය මුදා හරිනු නොලැබේ,nothing release the power with the power,kisiwak balaya samanga balaya muda harinu nolebe,,,
නව බල කාසි අපගේ රූපාකාරයන් මාර්ගගතව ඇත,new power coins our morphers are on line,nawa bala kasi apage rupakarayan margagathawa etha,,,
දෙක තිස් තුනකට මීටර් රයන් වල්ගා තරුව,two thirty three a m ryan s comet,deka this thunakata meetar rayan walga tharuwa,,,
009843 42 41 අපි වල්ගා තරුව පෙළගැසී සිටිමු,009843 42 41 we re in alignment there s the comet,api walga tharuwa pelagesee sitimu,,,
අපි ඔහු පසුපස යමු ultra ninja megazord සම්පූර්ණයි,let s go after him ultra ninja megazord complete,api ohu pasupasa yamu sampurnayi,,,
බලපෑම තත්පර පහළොවකින් අපට මෙතැනින් ඉවත් විය යුතුය,impact in fifteen seconds we have to get out of here,balapema thathpara pahalowakin apata methenin iwath wiya yuthuya,,,
බලපෑමට තත්පර හතරක් අපි මෙතැනින් පිටත් වෙමු,four seconds to impact we re outta here,balapemata thathpara hatharak api methenin pitath wemu,,,
රාජාලියා වන්න රාජාලියා වන්න ගිලින්න,be the eagle be the eagle be the swallow be the swallow,rajaliya wanna rajaliya wanna gilinna,,,
මෙන්න ඔබ සියලු දෙනාටම ප්රමාණවත් තල්ලුවක් නැත,here you go no pushing there s enough for everybody,menna oba siyalu denatama pramanawath thalluwak netha,,,
අසල්වැසියා සැබෑ ලැජ්ජාවකි,there goes the neighborhood a real shame,asalwesiya sebe lejjawaki,,,
එය රාජාලියෙකු සමීපව බලයි,it s an eagle look closer,eya sameepawa balayi,,,
උකුස්සෙකු සමීපව බලන්න,look closer a falcon,ukusseku sameepawa balanna,,,
උකුස්සා ටොමී ඔබ උකුස්සා පියාපත් ඇති අහසේ ස්වාමියා ය,a falcon tommy you are the falcon winged lord of the sky,ukussa tomee oba ukussa piyapath ethi ahase swamiya ya,,,
ඒයි ලොක්කා මොන වගේ ගොඩබෑමක්ද මේ විකටයන් අහසට තර්ජනයක්,hey boss what kind of landing was that these clowns are a menace to the sky,eyi lokka mona wage me wikatayan ahasata tharjanayak,,,
මම මුකුත් කිව්වද ඔයාගේ පරතරය වහගන්න,just shut your gap did i say anything,mama mukuth kiwwada oyage paratharaya wahaganna,,,
මම මෙතනින් ගිහින් මම එනකම් ඉන්න,i m outta here wait for me,mama methanin gihin mama enakam inna,,,
මගෙන් අයින් වෙන්න ඒත් මම ඔයාගේ මස්සිනා,get off me but i m your cousin,magen ayin wenna eth mama oyage massina,,,
සයිමන් කියනවා තාරාවෙක් වගේ ක්වාක් කියලා,simon says quack like a duck,sayiman kiyanawa tharawek wage kwak kiyala,,,
කොල්ලො ආපහු ටවුන් එකට ඇවිත් අයිවන් යන්න,the boys are back in town go ivan,kollo apahu tawun ekata ewith ayiwan yanna,,,
මූලික වශයෙන් ඔබ මූලික වශයෙන් අදහස් කරන්නේ කුමක්ද?,basically what do you mean basically,mulika washayen oba mulika washayen adahas karanne kumakda,,,
මේ කෝටුවලින් විසිල් සද්දයක් ආවාද ඔයා කොහොමද දන්නේ,did these sticks make a whistling sound how d you know,me kotuwalin wisil saddayak awada oya kohomada danne,,,
rrgh mmffpprr brghuh මම හැර වෙන කවුරුත් රීටා කට වහන්නේ නැති තරම් ඔබට,rrgh mmffpprr brghuh how dare you nobody shuts up rita but me,mama hera wena kawuruth reeta kata wahanne nethi tharam obata,,,
එය ලාභදායී පහරක් වූයේ අපට එය වඩා හොඳින් කළ නොහැකි විය,that was a cheap shot we couldn t have done it better ourselves,eya labhadayee paharak wuye apata eya wada hondin kala noheki wiya,,,
ඔවුන් බල විෂය පථය සක්රිය කරන බව ඕනෑම කෙනෙකුට පෙනේ,anybody see them activating power scope,owun bala wishaya pathaya sakriya karana bawa onema kenekuta pene,,,
කොහොමද දෙයියනේ මොකක්ද වෙන්නේ කියලා,how the heck what s going on,kohomada deyiyane mokakda wenne kiyala,,,
මම බලවත් වානරයා වන අතර මම උකුස්සා පියාපත් ඇති අහසේ අධිපතියා වෙමි,i am the mighty ape and i am the falcon winged lord of the sky,mama balawath wanaraya wana athara mama ukussa piyapath ethi ahase adhipathiya wemi,,,
තත්පර තුනක් අපි එය කරමු,three seconds let s do it,thathpara thunak api eya karamu,,,
awwh චාලි අවම ආරක්ෂාව ඔබට බ්රෝඩ්ස් හැර අන් සියල්ල ඇත,awwh charlie minimum security you ll have everything but broads,chali awama arakshawa obata hera an siyalla etha,,,
මම බොබී ක්ලෝව්ස් කැන්සාස් සිටි චාලි ලුසියානෝ,i m bobby clowes kansas city charlie luciano,mama bobee kensas siti chali,,,
අපතයෝ මට ඒ ගැන කියනවා,the goddamned bastards tell me about it,mata e gena kiyanawa,,,
දුප්පත් ඔව් නමුත් ඔබ නොවේ,poor yeah but not you,duppath ow namuth oba nowe,,,
boo boo වෙන වචනයක් නෙවෙයි,boo boo not another word,wena wachanayak neweyi,,,
මෙතන ලොක්කා ඒක ඇත්තටම වාසනාවන්ත තැන නෙමෙයි මෑතකදි,up here boss that ain t exactly been the lucky spot lately,methana lokka eka eththatama wasanawantha thena nemeyi methakadi,,,
ඔයා මාව බය කරන්න චාලි සමහරවිට ඒක නිසා මම ලොක්කා,you scare me charlie maybe that s why i m the boss,oya mawa baya karanna chali samaharawita eka nisa mama lokka,,,
ඔයා බය වෙලාද මම මොකට වෙන්න ඕනේ කියලා,are you frightened why should i be,oya baya welada mama mokata wenna one kiyala,,,
මට හැමදේම එක පාරක් තිබුන නිසා මොකද උනේ,i had everything once so what happened,mata hemadema eka parak thibuna nisa mokada une,,,
